ID,PERMI,  PERMIT_TYPE
1575949,100052848,PERMIT - RENOVATION/ALTERATION
1575967,100052864,PERMIT - EASY PERMIT PROCESS
1575993,100052886,PERMIT - NEW CONSTRUCTION
1576108,100052978,PERMIT - WRECKING/DEMOLITION
1576155,100053016,PERMIT - RENOVATION/ALTERATION
1576300,100053100,PERMIT - RENOVATION/ALTERATION
1576481,100053266,PERMIT - RENOVATION/ALTERATION
1576717,100053400,PERMIT - RENOVATION/ALTERATION
1576876,100053502,PERMIT - EASY PERMIT PROCESS
1576993,100053594,PERMIT - NEW CONSTRUCTION
1577126,100053685,PERMIT - ELEVATOR EQUIPMENT
1577269,100053805,PERMIT - ELEVATOR EQUIPMENT
1577347,100053850,PERMIT - RENOVATION/ALTERATION
1577658,100054084,PERMIT - NEW CONSTRUCTION
1577776,100054170, - NEW CONSTRUCTION
1577870,100054236,PERMIT - NEW CONSTRUCTION
1577877,100054243,PERMIT - NEW CONSTRUCTION
1577956,100054305,PERMIT - RENOVATION/ALTERATION
1577985,100054328,PERMIT - RENOVATION/ALTERATION
1578180,100054387,PERMIT - RENOVATION/ALTERATION
1647927,100093072,PERMIT - ELECTRIC WIRING
1378485,100054554,PERMIT - NEW CONSTRUCTION
1578935,100054851,PERMIT - RENOVATION/ALTERATION
1579014,100054911,PERMIT - RENOVATION/ALTERATION
1579092,100054966,PERMIT - RENOVATION/ALTERATION
1579517,100055205,PERMIT - RENOVATION/ALTERATION
1579555,100055223,PERMIT - RENOVATION/ALTERATION
1579976,100055419,PERMIT - PORCH CONSTRUCTION
1580089,100055489,PERMIT - RENOVATION/ALTERATION
1664789,100103683,PERMIT - SIGNS
1580117,100055507,PERMIT - RENOVATION/ALTERATION
1580233,100055561,PERMIT - RENOVATION/ALTERATION
1580304,100055600,PERMIT - NEW CONSTRUCTION
1580451,100055671,PERMIT - NEW CONSTRUCTION
1580661,100055815,PERMIT - NEW CONSTRUCTION
1580692,100055835,PERMIT - ELEVATOR EQUIPMENT
1580699,100055839,PERMIT - ELEVATOR EQUIPMENT
1580710,100055847,PERMIT - ELEVATOR EQUIPMENT
1580735,100055863,PERMIT - RENOVATION/ALTERATION
1580782,100055896,PERMIT - ELEVATOR EQUIPMENT
1581074,100056057,PERMIT - RENOVATION/ALTERATION
1581156,100056112,PERMIT - RENOVATION/ALTERATION
1581223,100056153,PERMIT - NEW CONSTRUCTION
1581390,100056231,PERMIT - NEW CONSTRUCTION
1581543,100056361,PERMIT - NEW CONSTRUCTION
1581573,100056385,PERMIT - RENOVATION/ALTERATION
1582029,100056604,PERMIT - NEW CONSTRUCTION
1582070,100056629,PERMIT - EASY PERMIT PROCESS
1582088,100056642,PERMIT - EASY PERMIT PROCESS
1582118,100056664,PERMIT - EASY PERMIT PROCESS
1582128,100056672,PERMIT - EASY PERMIT PROCESS
1582133,100056676,PERMIT - EASY PERMIT PROCESS
1582137,100056679,PERMIT - EASY PERMIT PROCESS
1582179,100056711,PERMIT - EASY PERMIT PROCESS
1582190,100056719,PERMIT - EASY PERMIT PROCESS
1582196,100056722,PERMIT - EASY PERMIT PROCESS
1582208,100056731,PERMIT - EASY PERMIT PROCESS
1582221,100056741,PERMIT - EASY PERMIT PROCESS
1582243,100056761,PERMIT - EASY PERMIT PROCESS
1582282,100056794,PERMIT - EASY PERMIT PROCESS
1582290,100056798,PERMIT - EASY PERMIT PROCESS
1378485,100056829,PERMIT - EASY PERMIT PROCESS
1582335,100056838,PERMIT - EASY PERMIT PROCESS
1582349,100056848,PERMIT - EASY PERMIT PROCESS
1582355,100056853,PERMIT - NEW CONSTRUCTION
1582356,100056854,PERMIT - EASY PERMIT PROCESS
1582360,100056856,PERMIT - EASY PERMIT PROCESS
1582421,100056875,PERMIT - EASY PERMIT PROCESS
1582543,100056978,PERMIT - NEW CONSTRUCTION
1582590,100056996,PERMIT - PORCH CONSTRUCTION
1582673,100057047,PERMIT - EASY PERMIT PROCESS
1582677,100057049,PERMIT - EASY PERMIT PROCESS
1582701,100057065,PERMIT - EASY PERMIT PROCESS
1582757,100057103,PERMIT - WRECKING/DEMOLITION
1582843,100057157,PERMIT - NEW CONSTRUCTION
1625827,100079579,PERMIT - ELECTRIC WIRING
1582847,100057160,PERMIT - RENOVATION/ALTERATION
1583256,100057389,PERMIT - NEW CONSTRUCTION
1583278,100057406,PERMIT - NEW CONSTRUCTION
1583356,100057438,PERMIT - RENOVATION/ALTERATION
1583632,100057651,PERMIT - ELECTRIC WIRING
1583653,100057671,PERMIT - RENOVATION/ALTERATION
1583898,100057822,PERMIT - RENOVATION/ALTERATION
1584027,100057925,PERMIT - RENOVATION/ALTERATION
1597472,100064617,PERMIT - ELEVATOR EQUIPMENT
1584490,100058269,PERMIT - NEW CONSTRUCTION
1584516,100058292,PERMIT - RENOVATION/ALTERATION
1584531,100058301,PERMIT - RENOVATION/ALTERATION
1584539,100058307,PERMIT - RENOVATION/ALTERATION
1584540,100058308,PERMIT - RENOVATION/ALTERATION
1584548,100058314,PERMIT - RENOVATION/ALTERATION
1584550,100058316,PERMIT - NEW CONSTRUCTION
1584557,100058321,PERMIT - RENOVATION/ALTERATION
1585609,100058900,PERMIT - ELEVATOR EQUIPMENT
1625831,100079581,PERMIT - ELECTRIC WIRING
1584693,100058386,PERMIT - NEW CONSTRUCTION
1584721,100058405,PERMIT - RENOVATION/ALTERATION
1584878,100058515,PERMIT - PORCH CONSTRUCTION
1584902,100058532,PERMIT - NEW CONSTRUCTION
1585139,100058670,PERMIT - RENOVATION/ALTERATION
1585186,100058702,PERMIT - NEW CONSTRUCTION
1378485,100058765,PERMIT - RENOVATION/ALTERATION
1585404,100058789,PERMIT - RENOVATION/ALTERATION
1585637,100058912,PERMIT - ELEVATOR EQUIPMENT
1585649,100058918,PERMIT - RENOVATION/ALTERATION
1378485,100059011,PERMIT - RENOVATION/ALTERATION
1585821,100059023,PERMIT - EASY PERMIT PROCESS
1585900,100059074,PERMIT - RENOVATION/ALTERATION
1585928,100059091,PERMIT - RENOVATION/ALTERATION
1586009,100059136,PERMIT - RENOVATION/ALTERATION
1586030,100059143,PERMIT - RENOVATION/ALTERATION
1586393,100059380,PERMIT - NEW CONSTRUCTION
1586408,100059383,PERMIT - WRECKING/DEMOLITION
1586413,100059384,PERMIT - RENOVATION/ALTERATION
1586572,100059431,PERMIT - RENOVATION/ALTERATION
1586592,100059441,PERMIT - NEW CONSTRUCTION
1586656,100059481,PERMIT - NEW CONSTRUCTION
1587020,100059750,PERMIT - PORCH CONSTRUCTION
1587286,100059929,PERMIT - RENOVATION/ALTERATION
1587397,100060001,PERMIT - RENOVATION/ALTERATION
1587457,100060049,PERMIT - RENOVATION/ALTERATION
1587494,100060068,PERMIT - NEW CONSTRUCTION
1587529,100060100,PERMIT - NEW CONSTRUCTION
1587662,100060198,PERMIT - RENOVATION/ALTERATION
1587672,100060204,PERMIT - RENOVATION/ALTERATION
1587840,100060280,PERMIT - NEW CONSTRUCTION
1587841,100060281,PERMIT - NEW CONSTRUCTION
1587937,100060341,PERMIT - NEW CONSTRUCTION
1589585,100061353,PERMIT - RENOVATION/ALTERATION
1588155,100060469,PERMIT - NEW CONSTRUCTION
1588345,100060611,PERMIT - NEW CONSTRUCTION
1588498,100060732,PERMIT - NEW CONSTRUCTION
1588519,100060747,PERMIT - RENOVATION/ALTERATION
1588794,100060931,PERMIT - RENOVATION/ALTERATION
1588985,100061030,PERMIT - NEW CONSTRUCTION
1589290,100061178,PERMIT - NEW CONSTRUCTION
1589617,100061370,PERMIT - RENOVATION/ALTERATION
1589668,100061395,PERMIT - EASY PERMIT PROCESS
1589682,100061402,PERMIT - RENOVATION/ALTERATION
1589698,100061411,PERMIT - RENOVATION/ALTERATION
1589719,100061425,PERMIT - NEW CONSTRUCTION
1589785,100061468,PERMIT - RENOVATION/ALTERATION
1589842,100061516,PERMIT - NEW CONSTRUCTION
1590029,100061577,PERMIT - RENOVATION/ALTERATION
1590105,100061605,PERMIT - PORCH CONSTRUCTION
1590150,100061624,PERMIT - RENOVATION/ALTERATION
1590348,10006.1704,PERMIT - NEW CONSTRUCTION
1590349,100061705,PERMIT - NEW CONSTRUCTION
1590355,100061707,PERMIT - PORCH CONSTRUCTION
1590377,100061719,PERMIT - RENOVATION/ALTERATION
1590380,100061721,PERMIT - RENOVATION/ALTERATION
1590490,100061767,PERMIT - WRECKING/DEMOLITION
1590500,100061771,PERMIT - WRECKING/DEMOLITION
1590582,100061818,PERMIT - RENOVATION/ALTERATION
1590637,100061840,PERMIT - RENOVATION/ALTERATION
1590680,100061862,PERMIT - RENOVATION/ALTERATION
1590782,100061916,PERMIT - NEW CONSTRUCTION
1590843,100061945,PERMIT - NEW CONSTRUCTION
1590968,100062003,PERMIT - NEW CONSTRUCTION
1591589,100062296,PERMIT - RENOVATION/ALTERATION
1591674,100062319,PERMIT - RENOVATION/ALTERATION
1594859,100063408,PERMIT - PORCH CONSTRUCTION
1591709,100062337,PERMIT - RENOVATION/ALTERATION
1591824,100062384,PERMIT - RENOVATION/ALTERATION
1591999,100062457,PERMIT - PORCH CONSTRUCTION
1592309,100062545,PERMIT - RENOVATION/ALTERATION
1592325,100062551,PERMIT - WRECKING/DEMOLITION
1592337,100062555,PERMIT - WRECKING/DEMOLITION
1592526,100062605,PERMIT - RENOVATION/ALTERATION
1592533,100062607,PERMIT - RENOVATION/ALTERATION
1592843,100062727,PERMIT - RENOVATION/ALTERATION
1597478,100064620,PERMIT - ELEVATOR EQUIPMENT
1592878,100062738,PERMIT - NEW CONSTRUCTION
1592969,100062770,PERMIT - RENOVATION/ALTERATION
1592996,100062781,PERMIT - PORCH CONSTRUCTION
1593076,100062807, - WRECKING/DEMOLITION
1593506,100062965,PERMIT - RENOVATION/ALTERATION
1593537,100062974,PERMIT - RENOVATION/ALTERATION
1593699,100063040,PERMIT - RENOVATION/ALTERATION
1593772,100063060,PERMIT - RENOVATION/ALTERATION
1593775,100063061,PERMIT - RENOVATION/ALTERATION
1593831,100063082,PERMIT - WRECKING/DEMOLITION
1593835,100063085,PERMIT - RENOVATION/ALTERATION
1594064,100063182,PERMIT - RENOVATION/ALTERATION
1594208,100063220,PERMIT - ELECTRIC WIRING
1378485,100063249,PERMIT - RENOVATION/ALTERATION
